"What is your gender?","What is your age range? If under 18 years old please stop here and do not complete this survey. (Select one)","I am a (Select as many as apply)","If a current UMD student, which best describes you? (Select one)","Which best describes how often you read The Diamondback?","When I do read the Diamondback I most often choose content in these areas (Select all that apply)","On a scale of 1 to 5, how relevant is The Diamondback to issues that are most important to you?","Which of the following would you like to see more of from The Diamondback? (Select all that apply)","What type of device do you most often use to access The Diamondback? (Select all that apply)","When reading news on your phone do you prefer to use","On a scale of 1 to 5, if you knew that The Diamondback had a mobile app how likely would you be to download it?","Do you follow The Diamondback on any of the following? (Select all that apply)","Which sources of news do you use to stay updated on campus information that is relevant to you? (Select all that apply)","What could The Diamondback do to improve? ","What do you think The Diamondback does well as a news source?","If you have any other comments, suggestions or questions, please enter them below. Thank you."
Non-binary,22-24,"UMD student
UMD faculty/staff","Graduate Student","Several times a week","Campus News
College Park News",3,"Breaking News
Opinions","Computer / Laptop","Mobile website",1,"None of the above","The Diamondback
Maryland Today
University emails
Word of Mouth
Slack",,,
Male,22-24,"UMD student
UMD alumni",Senior,"At least once a week","Campus News
College Park News
Crime
Opinions",3,"Breaking News
Opinions",Phone,"Mobile website",2,"Daily emailed newsletter","The Diamondback
University emails
Word of Mouth",,,
Female,18-19,"UMD student
UMD alumni",Sophomore,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",5,,"Phone
Computer / Laptop","Mobile website",1,,,,,
"Prefer not to answer",41-50,"UMD student
UMD alumni",Other,"At least once a week","Campus News
Other",3,"Breaking News
Real campus news","Phone
Computer / Laptop
Tablet","Mobile website",3,"Daily emailed newsletter","The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
Twitter","More evenly balanced opinions (both liberal or conservative);
Less DEI, LBQT+ opinion and coverage;
Less BLM and CRT
Emphasize facts, not opinions ","Opportunities for student journalism ",
Female,20-21,"UMD student
College Park citizen or official/non-student",Junior,"Several times a week","Campus News
College Park News
Opinions",3,"Student Profiles","Computer / Laptop","Mobile website",1,"Instagram
Twitter","The Diamondback
Stories Beneath the Shell
Maryland Today
University Social Media","Editorial standards on opinion pieces are incredibly low. Especially on local issues, many articles lack basic fact-checking that reflects poorly on the DBK.","I love profiles on groups and people. ","Please use outside fact-checks on opinion articles, rather than trusting the author to fact-check."
Female,20-21,"UMD student",Senior,"At least once a day","Campus News
Other",3,"Diversity, Equity and Inclusion
Spanish content","Phone
Computer / Laptop","Mobile website",2,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
University Social Media","Boost Spanish content more, offer more opportunities in that area for reporters",,
Female,18-19,"UMD student",Sophomore,"At least once a month","Campus News
College Park News",4,"Breaking News
Entertainment
Diversity, Equity and Inclusion",Phone,"I get my news from social media",2,"Daily emailed newsletter","The Diamondback
University emails
University Social Media
Word of Mouth",,,
Female,20-21,"UMD student",Senior,"At least once a month","Campus News
College Park News
Diversions/Entertainment",4,"Lifestyle Content
Student Profiles
Entertainment","Computer / Laptop",App,1,"Daily emailed newsletter","Maryland Today
University emails
Word of Mouth
Twitter",,,
Female,18-19,"UMD student",Freshman,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",2,"Breaking News
Lifestyle Content
Entertainment
Opinions","Phone
Computer / Laptop",App,4,Instagram,"The Diamondback
Her Campus
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,"UMD student",Senior,"Several times a week","Campus News
Opinions",4,"Breaking News
Lifestyle Content
Opinions",Phone,App,1,Instagram,"The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,"Does a good job of advocating for students ",
Female,20-21,"UMD student",Senior,"Several times a week",,,,"Phone
Computer / Laptop","I get my news from social media",2,,,,,
Male,18-19,"UMD student",Sophomore,"Very rarely",,,,,,,,,,,
Male,20-21,"UMD student",Sophomore,"At least once a day","College Park News",5,"Student Profiles
Diversity, Equity and Inclusion","Phone
Computer / Laptop",App,5,Instagram,"The Diamondback
Stories Beneath the Shell
University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Sophomore,"At least once a week","Campus News
Diversions/Entertainment
Opinions",3,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",1,Instagram,"The Diamondback
Stories Beneath the Shell
University emails
University Social Media",,,"You should research how Student Body President Ayelette Halbfinger is racist and makes Islamiphobic remarks"
Female,20-21,"UMD student",Junior,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Sports
Diversity, Equity and Inclusion",Phone,"Mobile website",5,Instagram,"The Diamondback
Mitzpeh
Her Campus
The Left Bench
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Freshman,"Several times year",Opinions,3,"Entertainment
Opinions","Computer / Laptop","I get my news from social media",5,"None of the above","University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Freshman,"Very rarely","Campus News
College Park News
Crime",2,"Breaking News
Diversity, Equity and Inclusion",Phone,"Mobile website",3,Instagram,"Her Campus
University emails
University Social Media
Word of Mouth","More local news and asking others what they want to read. ",,
Female,20-21,"UMD student",Senior,"Several times a week","Campus News
Diversions/Entertainment
Opinions",3,"Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",1,"Daily emailed newsletter","The Diamondback
Stories Beneath the Shell
Maryland Today
University emails
University Social Media
Word of Mouth","Pay writers better wages! And hire more POC writers","It has different topics & sections for news",
Female,18-19,"UMD student",Sophomore,"Very rarely","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",3,"Breaking News
Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",5,Instagram,"None of these",,,
Male,20-21,"UMD student",Sophomore,"Very rarely","Campus News
College Park News
Sports
Opinions
Other",5,,"Phone
Computer / Laptop",App,5,Instagram,"The Diamondback
University emails
University Social Media",,,
Male,18-19,"UMD student",Sophomore,"Several times a week","Campus News
College Park News
Opinions",4,"Breaking News
Opinions",Phone,"Mobile website",3,Instagram,"The Diamondback
Mitzpeh
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,18-19,"UMD student",Sophomore,"At least once a week","Campus News
Opinions",3,"stop publishing",Phone,"I get my news from social media",1,Instagram,"THE UMD HARE, BABEEEEEEEEEEEEEEE","Shut down your paper",Nothing,"Viva la Hare"
Female,20-21,"UMD student",Junior,"At least once a month","Campus News
Crime
Opinions",3,Opinions,Phone,"Mobile website",4,Instagram,"The Diamondback
University emails","The quality of writing could use some work. So much of it as written as: “blah blah” said Smith. “Blah blah” Smith added. “But blah blah blah” said Smith.

I would use the repeat options for the questions in this form as a reference for the Diamondback’s level of quality control.","You seem to cover everything that happens on campus? I think?","All articles feel heavily biased… there are some things I read on your site that aren’t labeled as “Opinion” articles but are incredibly skewed in the way that they are written. Your job is to be objective and just share the facts, not write a narrative that is biased and skewed in a way that is in alignment with your moral and/or political opinion(s).

I am curious how often you check the form that readers can fill out about potential stories. If you’re not checking it (or are rarely checking it), you are doing yourself a great disservice.

More transparency on the wages you give your workers would be good."
Female,20-21,"UMD student",Junior,"At least once a week","Campus News
College Park News
Crime
Opinions",5,"Breaking News
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",5,Instagram,"The Diamondback
Twitter",,,
Female,20-21,"UMD student",Junior,"At least once a week","Campus News
College Park News
Crime
Opinions",5,"Breaking News
Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",5,Instagram,"The Diamondback
Twitter",,,
Female,18-19,"UMD student",Freshman,"At least once a week","Campus News
College Park News
Sports
Opinions",4,"Breaking News
Student Profiles","Phone
Computer / Laptop
Tablet","Email digests/newsletter (I currently use a rollup)",1,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
University Social Media",,,
Non-binary,20-21,"UMD student",Junior,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Entertainment
Opinions","Phone
Computer / Laptop","I get my news from social media",5,Instagram,"The Diamondback
Stories Beneath the Shell
WMUC Radio
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,25-30,"UMD student",Senior,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Sports",4,"Student Profiles","Phone
Computer / Laptop","Mobile website",3,"None of the above","The Diamondback
WMUC Radio
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,"Consistently puts out quality writing. Not cluttered looking, the site is visually appealing. Headlines make you want to read but aren’t clickbait-y. ",
Male,20-21,"UMD student",Senior,"At least once a day","Campus News
Sports",4,Sports,"Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Facebook
Instagram
Twitter","The Diamondback
The Left Bench
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Female,20-21,"UMD student",Senior,"At least once a week","Campus News
College Park News",5,"Breaking News
Entertainment",Phone,"Mobile website",1,"Daily emailed newsletter
Instagram","The Diamondback
Maryland Today
University emails
Word of Mouth",,,
Male,25-30,"UMD student","Graduate Student","At least once a week","Campus News
College Park News
Sports
Crime
Opinions",5,"Breaking News
Lifestyle Content
Opinions
Sports","Phone
Computer / Laptop","Mobile website",1,"Facebook
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth",,,
Male,20-21,"UMD student",Junior,"Several times a week","Campus News
College Park News
Sports
Opinions",4,"Breaking News",Phone,App,5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
University emails
University Social Media
Word of Mouth",,,
Female,20-21,"UMD student",Junior,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Student Profiles",Phone,App,,"Daily emailed newsletter","The Writers Bloc",,,
Male,22-24,"UMD student",Senior,"At least once a month","Campus News
Opinions",5,"Student Profiles
Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",4,"None of the above","The Diamondback
Maryland Today",,,
Male,22-24,"UMD student","Graduate Student","At least once a week","Campus News
College Park News",3,"Breaking News
Student Profiles
Diversity, Equity and Inclusion",Phone,"Mobile website",2,"None of the above","The Diamondback
University Social Media","I think having a review of new restaurants when they open around college park would be good. I’m the past year, examples included Okinama ramen and D.P. Dough and Trader Joe’s. There will also be the new DogHaus opening soon as well.","I think diamondback excels when it talks about local topics that I can’t get from other news sources. Although I don’t read the articles of news sports, I do like skimming headlines to know if we’re in an upswing. Perhaps some sort of weekly or monthly summary of sports could be good? (Though that could be overlapping with Terrapin Sports Central)

Frankly, I enjoy reading most about construction updates from the Diamondback. I like to know when new restaurants are being built, or if there will be new housing or apartments coming to the area. If there are changes to the roadways I need to watch out for.","Your poll could be updated. From what I can tell, Unwind magazine doesn’t exist anymore and The Left Bench changed its name to Terrapin Sports Central (although their weekly show is still called the left bench?)"
Male,20-21,"UMD student",Senior,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",5,"Breaking News
Sports",Tablet,"Mobile website",5,Instagram,"The Diamondback
Stories Beneath the Shell
Twitter","Presenting add'l views on the stories.  Lately it seems like a ton of stories with people demanding services for a small interest, regardless of cost or common sense.  We're reinforcing the perception of our generation as entitled and wanting everything give to us.      The recent person asking for an umbrella service?  And no thoughts from the reporter on the responsibility of the individual to be responsible for having an umbrella or a rain jacket.  Geez, we can be better!","Pretty good.  Needs more pushback on getting all sides of a story, not just the single view of the person in the headline.","Go Terps!"
Female,20-21,"UMD student",Junior,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Opinions",4,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,"I get my news from social media",4,Instagram,"The Diamondback
Maryland Today
University emails",,,
Non-binary,18-19,"UMD student",Freshman,"Very rarely","Campus News
Diversions/Entertainment",4,"Student Profiles
Entertainment
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",1,"I do not use social media","The Diamondback
WMUC Radio
The Writers Bloc
Maryland Today
University emails
Word of Mouth
The Hare",,,
Female,20-21,"UMD student",Junior,"At least once a month","Campus News
College Park News
Diversions/Entertainment
Crime
Opinions",5,"Breaking News
Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop","I get my news from social media",4,Instagram,"The Diamondback
University Social Media","Advertise more","A broad variety of student contributors ",
Female,18-19,"UMD student",Freshman,"At least once a week","Campus News
Diversions/Entertainment",3,"Breaking News","Computer / Laptop",App,5,Instagram,"Stories Beneath the Shell
University emails
University Social Media
Word of Mouth",,,
Female,18-19,"UMD student",Sophomore,"At least once a week","Campus News
College Park News
Sports",4,"Breaking News
Opinions",Phone,"I get my news from social media",4,Instagram,"The Diamondback
Maryland Today",,,
Male,25-30,"UMD student",Senior,"At least once a day","Campus News
College Park News
Sports
Opinions",5,"Breaking News
Student Profiles
Opinions
Sports","Phone
Computer / Laptop","Mobile website",4,"Daily emailed newsletter
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth","Better Twitter updates from accounts and reporters. More focus on Maryland state politics and local DC area coverage.","The Diamondback is probably one of the few reliable news sources for local news I can rely on. Whenever I look for news about what’s happening in College Park or in Prince George’s County, I first check to see if the Diamondback has covered it.","More DC area news stories if possible. Perhaps highlight more development of the city and university community. Definitely more political and government coverage and how it’s impacting the UMD community. Perhaps even consider partnering with Greater Greater Washington on a few things regarding PG County news stories on transportation and development stories."
Female,18-19,"UMD student",Freshman,"At least once a month","Campus News
College Park News
Opinions",4,"Diversity, Equity and Inclusion",Phone,"Mobile website",1,Instagram,"The Diamondback
University emails
University Social Media
Word of Mouth",,,
Male,18-19,"UMD student",Sophomore,"At least once a month","Sports
Crime",,"Lifestyle Content",Phone,App,5,Instagram,"The Diamondback
Stories Beneath the Shell",,"Report on sports beyond just the score of a game",
Female,18-19,"UMD student",Sophomore,"At least once a day","Campus News
Sports",4,"Breaking News
Student Profiles","Phone
Computer / Laptop","Mobile website",5,"Daily emailed newsletter
Instagram
Twitter","The Diamondback
Mitzpeh
Her Campus
The Left Bench
Stories Beneath the Shell
WMUC Radio
Maryland Today
University emails
University Social Media",,,
Female,18-19,"UMD student",Sophomore,"At least once a month","Campus News
College Park News",3,"Breaking News",Phone,App,4,"None of the above","Her Campus",,,
Female,22-24,"UMD student",Senior,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Opinions",5,"Breaking News
Lifestyle Content
Opinions","Phone
Computer / Laptop",App,5,"Daily emailed newsletter
Instagram","The Diamondback
University emails",,,
Female,20-21,"UMD student",Freshman,"Several times a week","Campus News
Diversions/Entertainment
Opinions
Other",3,"Breaking News
Lifestyle Content
Student Profiles
Entertainment
Opinions
Diversity, Equity and Inclusion",Phone,"I get my news from social media",5,"Daily emailed newsletter
Instagram","The Diamondback
Mitzpeh
WMUC Radio",,,
Non-binary,22-24,"UMD student","Graduate Student","At least once a day","Diversions/Entertainment
Opinions",4,"Lifestyle Content
Entertainment","Phone
Computer / Laptop","email newsletters",1,"Daily emailed newsletter
Facebook","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth","Ok this is small but it's always bothered me that on the website on desktop, news article text is literally at the edge of the screen, like there's no space/margin between the screen and the text. Is there a way to add space there for readability? and... I miss the physical copies of the newspaper :( but that's ok. I also wish there was a little place for short reader responses, I know that you can have guest columnists and articles responding to other articles but sometimes I have a little response (like a paragraph) that I wish I could just shoot off really quick, and then all these responses could be compiled into a larger post or something..?","Love the weekly newsletters! They're the main way I get news and I read them every day. Not sure how many people read them but I personally would love to see more stuff in them - could be anything, more articles, more summary text, a little crossword like Vox does, idk! And also my favorite section of the DBK is diversions! OH BY THE WAY, the playlist recommendation article website thing was SO cool AND as someone who's started going into DC a lot I really liked the DC review guide!",
Female,20-21,"UMD student",Senior,"At least once a month","Campus News
College Park News
Diversions/Entertainment",4,"Breaking News",Phone,App,5,"None of the above","The Diamondback
Her Campus
Stories Beneath the Shell
Maryland Today
University emails
University Social Media","Cover more breaking news","Stay unbiased and reliable",
Male,18-19,"UMD student",Sophomore,"At least once a week","Campus News",3,"Breaking News
Entertainment","Computer / Laptop","Mobile website",4,"Daily emailed newsletter","University emails
Word of Mouth",,,
Female,20-21,"UMD student",Senior,"At least once a week","Diversions/Entertainment
Opinions",3,"Lifestyle Content
Student Profiles
Entertainment
Opinions","Phone
Computer / Laptop","I get my news from social media",3,"Daily emailed newsletter
Instagram","The Diamondback
University emails
University Social Media",,,
Female,18-19,"UMD student",Freshman,"Several times a week","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions",4,"Lifestyle Content
Student Profiles
Diversity, Equity and Inclusion","Computer / Laptop","I get my news from social media",1,Instagram,"The Diamondback
Stories Beneath the Shell","pay copy editors more","pay ppl",
"Prefer not to answer",20-21,"UMD student",Junior,"At least once a week",Other,5,"Lifestyle Content",Tablet,App,,,,,,
Female,18-19,"UMD student",Freshman,"Very rarely","College Park News",1,Opinions,Tablet,App,5,Twitter,"The Diamondback",,,
Female,18-19,"UMD student",Freshman,"Very rarely",Opinions,3,"Student Profiles",Phone,App,2,"None of the above","None of these",,,
Male,20-21,"UMD student",Junior,"Very rarely","Campus News",3,"Breaking News
Lifestyle Content
Entertainment
Sports
Diversity, Equity and Inclusion",Phone,App,3,"None of the above","None of these",,,
Male,61-70,"UMD faculty/staff
Parent of a former student",,"At least once a month","Campus News
Sports
Opinions",3,"Breaking News
Lifestyle Content
Opinions","Computer / Laptop",,,"None of the above
I do not use social media","Maryland Today",,,
Male,71+,"UMD faculty/staff
Parent of a former student",,"At least once a day","Campus News",4,,"Computer / Laptop",,1,"I do not use social media","The Diamondback
Maryland Today
University emails",,,
Male,61-70,"UMD faculty/staff
Parent of a former student",,"Several times a week","Campus News
Sports
Opinions",3,"Breaking News
Lifestyle Content
Sports","Computer / Laptop","Do not have a phone",,"I do not use social media","The Diamondback
Maryland Today
University emails",,,
Female,61-70,"UMD faculty/staff
College Park citizen or official/non-student",,"At least once a week","Campus News
College Park News",3,"Breaking News","Phone
Computer / Laptop
Tablet","Mobile website",2,"Facebook
Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter","The Diamondback has gone downhill since it stopped the paper edition. The campus and local news reporting is practically nonexistent.  The student journalists should be using this as an opportunity to practice who, what, where, when,and why. Not to forget triple checking your source vs. the current lazy news practice of copying and pasting. ","Reading the City Council meeting reporting can be entertaining, rarely are all the facts gathered, with followup articles on the issues. ","Have the reporters learn the actual boundaries of Hyattsville.  The local TV news stations certainly don't know it.  This brings up the question,  if the local news stations don't get the facts right on local stories, how do we know they are getting the facts right whe reporting national and political news?"
Male,41-50,"UMD faculty/staff",,"At least once a week","Campus News",5,"Breaking News
Opinions","Computer / Laptop","Mobile website",3,"Facebook
Twitter","The Diamondback
Maryland Today
University Social Media
Word of Mouth
Twitter",,,
Female,25-30,"UMD faculty/staff",,"At least once a week","Campus News
College Park News
Diversions/Entertainment
Crime
Opinions
Other",4,"Breaking News
Lifestyle Content
Student Profiles
Opinions
Diversity, Equity and Inclusion","Phone
Computer / Laptop","Mobile website",3,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails
University Social Media",,,
"Prefer not to answer",51-60,"UMD faculty/staff",,"At least once a week","Campus News
College Park News
Opinions",4,"Breaking News
Opinions
Diversity, Equity and Inclusion
THE PURPLE LINE!","Phone
Computer / Laptop","Mobile website",1,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails
Word of Mouth","It would be nice to see more reflections on all the campus initiatives. What do students think about the huge capital projects on campus? What about the Rte 1 development? Nice that you have a piece on affordable housing in CP.","Good short pieces on what's happening on campus.","You're doing a great job!"
,51-60,"UMD faculty/staff",,"At least once a day","Campus News
College Park News
Diversions/Entertainment
Sports
Crime
Opinions
Other",3,,"Phone
Computer / Laptop
Tablet",App,3,"Daily emailed newsletter
I do not use social media","The Diamondback
Maryland Today
Word of Mouth","Still learning who has the best information for what, but will be sure to let you know if I have any improvement ideas or suggestions.","Information different than what is in Maryland today, and appears to have information relevant to the student populace, but again still learning what resources provide what information. ","See comments provided above.  Thank you for providing the information you provide!"
Male,22-24,"UMD faculty/staff",,"At least once a month","Campus News
College Park News
Diversions/Entertainment
Sports
Crime",5,"Breaking News
Sports","Phone
Computer / Laptop","Mobile website",2,"Daily emailed newsletter
Twitter","The Diamondback
Maryland Today
University emails
Twitter",,,
Female,61-70,"UMD faculty/staff",,"Several times a week","Campus News
College Park News
Opinions",3,"Breaking News
Student Profiles
Opinions","Computer / Laptop",,1,"Daily emailed newsletter","The Diamondback
University emails
Word of Mouth","This semester, it seems like the lead story is always about sports. Surely it's not the most important news every day. I'd like to see more news stories on issues like campus politics, news about different majors, Purple Line construction, Greek life, news about DOTS and other UMD departments. ","The stories I've seen in past semesters on the above topics have been informative.","I tell my students to read the D-back for news on campus issues. Please don't make me wrong. "
"Prefer not to answer",41-50,"UMD faculty/staff",,"Several times a week","Campus News",3,"Breaking News
Student Profiles
Sports","Computer / Laptop",App,4,"I do not use social media","The Diamondback
Maryland Today
University emails
Word of Mouth","Less coverage of Opinions and more on news","Not well...","Provide unbiased coverage of campus events and news. You are a college newspapers and provide information relevant to students and staff."
Female,31-40,"UMD faculty/staff",,"At least once a month","College Park News",3,"Opinions
Diversity, Equity and Inclusion",Phone,"Mobile website",2,"I do not use social media","Terrapin Yearbook
Maryland Today",,,
Non-binary,51-60,"UMD faculty/staff",,"At least once a week","Diversions/Entertainment
Sports",3,"Breaking News","Computer / Laptop","Mobile website",3,"None of the above","The Diamondback
Maryland Today
University Social Media
Twitter",,,
Female,61-70,"UMD faculty/staff",,"At least once a week","Campus News",4,"Breaking News
Opinions","Phone
Computer / Laptop
Tablet","Mobile website",2,"Daily emailed newsletter","The Diamondback
Maryland Today","Cover more in-depth news. Ask the university for data more often. Come up with very, very good information and call the university's bluff.  Take the administration to task when they deny open records requests,","Rewriting press releases.",
Male,51-60,"UMD faculty/staff",,"Several times a week","Campus News
College Park News
Opinions",4,,"Computer / Laptop",,1,"None of the above","The Diamondback
University emails
Word of Mouth","produce the print version again!",,
Female,51-60,"UMD faculty/staff",,"At least once a week","Campus News
College Park News
Crime",4,"Breaking News
Lifestyle Content
Student Profiles","Computer / Laptop","Mobile website",2,"Instagram
Twitter","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Male,71+,"UMD faculty/staff",,"At least once a week","Campus News
Sports",4,"Breaking News
Sports","Computer / Laptop","Mobile website",4,Facebook,"The Diamondback",,,
Female,51-60,"UMD faculty/staff",,"Several times a week","Campus News
College Park News",4,"Breaking News","Computer / Laptop","Mobile website",3,"Daily emailed newsletter","The Diamondback
Maryland Today
University emails
Word of Mouth",,,
Female,31-40,"UMD faculty/staff",,"At least once a week",Diversions/Entertainment,3,"Lifestyle Content
Student Profiles
Entertainment","Phone
Computer / Laptop","Mobile website",1,"Daily emailed newsletter","The Diamondback
University emails
University Social Media","The Diamondback loses credibility with faculty and staff when it fails to cover positive developments at the university. ","Diversions offer relevant perspective into college student life. ",
Female,31-40,"UMD faculty/staff",,"At least once a day","Campus News
College Park News
Diversions/Entertainment",3,"Breaking News
Diversity, Equity and Inclusion","Computer / Laptop","Mobile website",3,"None of the above","The Diamondback
Maryland Today
University emails
University Social Media
Word of Mouth
Twitter",,,
Male,71+,"UMD faculty/staff",,"At least once a week","Campus News
College Park News
Opinions",4,"Breaking News
Student Profiles
Opinions
Diversity, Equity and Inclusion
Sustainability","Phone
Computer / Laptop",App,4,"I do not use social media","The Diamondback
Maryland Today
University emails","Publish more often","Covers UMCP","A great paper, disappearing…"
